rank,final_worth,category,personName,age,country,source,industry_billionaires,countryOfCitizenship,selfMade,status,gender,birthDate,lastName,firstName,birthYear,birthMonth,birthDay,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,population_country,source_1,source_2,source_3
1164,2600,Manufacturing,Hans Georg Naeder,61.0,Germany,Prosthetics,Manufacturing,Germany,False,E,M,9/4/1961 0:00,Naeder,Hans Georg,1961.0,9.0,4.0,112.85,1.4,3845630030824.0,70.2,104.0,80.9,83132799.0,Prosthetics,,
1164,2600,Fashion & Retail,Falguni Nayar,60.0,India,Retailing,Fashion & Retail,India,True,D,F,2/19/1963 0:00,Nayar,Falguni,1963.0,2.0,19.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,1366417754.0,Retailing,,
1164,2600,Finance & Investments,James Packer,55.0,United States,Investments,Finance & Investments,Australia,False,D,M,9/8/1967 0:00,Packer,James,1967.0,9.0,8.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Investments,,
1164,2600,Logistics,Alexander Ponomarenko,58.0,Russia,"Real estate, airport",Logistics,Russia,True,U,M,10/27/1964 0:00,Ponomarenko,Alexander,1964.0,10.0,27.0,180.75,4.5,1699876578871.0,81.9,102.6,72.7,144373535.0,Real estate, airport,
1164,2600,Finance & Investments,Nicholas Pritzker,79.0,United States,"Hotels, investments",Finance & Investments,United States,False,D,M,1/1/1944 0:00,Pritzker,Nicholas,1944.0,1.0,1.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Hotels, investments,
1164,2600,Food & Beverage,Alejandro Santo Domingo,46.0,United States,Beer,Food & Beverage,United States,False,E,M,2/13/1977 0:00,Santo Domingo,Alejandro,1977.0,2.0,13.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Beer,,
1164,2600,Technology,Steven Sarowitz,57.0,United States,Payroll software,Technology,United States,True,D,M,11/7/1965 0:00,Sarowitz,Steven,1965.0,11.0,7.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Payroll software,,
1164,2600,Automotive,Maria-Elisabeth Schaeffler-Thumann,81.0,Germany,Auto parts,Automotive,Germany,False,U,F,8/17/1941 0:00,Schaeffler-Thumann,Maria-Elisabeth,1941.0,8.0,17.0,112.85,1.4,3845630030824.0,70.2,104.0,80.9,83132799.0,Auto parts,,
1164,2600,Healthcare,Leonard Schleifer,70.0,United States,Pharmaceuticals,Healthcare,United States,True,U,M,7/7/1952 0:00,Schleifer,Leonard,1952.0,7.0,7.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Pharmaceuticals,,
1164,2600,Manufacturing,Dieter Schnabel,77.0,Germany,Chemicals,Manufacturing,Germany,False,U,M,1/1/1946 0:00,Schnabel,Dieter,1946.0,1.0,1.0,112.85,1.4,3845630030824.0,70.2,104.0,80.9,83132799.0,Chemicals,,
1164,2600,Energy,Michael S. Smith,67.0,United States,Liquefied natural gas,Energy,United States,True,U,M,5/9/1955 0:00,Smith,Michael S.,1955.0,5.0,9.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Liquefied natural gas,,
1164,2600,Manufacturing,Julia Thiele-Schuerhoff,51.0,Germany,"Brakes, investments",Manufacturing,Germany,False,D,F,1/1/1972 0:00,Thiele-Schuerhoff,Julia,1972.0,1.0,1.0,112.85,1.4,3845630030824.0,70.2,104.0,80.9,83132799.0,Brakes, investments,
1164,2600,Food & Beverage,John Tyson & family,69.0,United States,Food processing,Food & Beverage,United States,False,D,M,9/5/1953 0:00,Tyson,John,1953.0,9.0,5.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Food processing,,
1164,2600,Manufacturing,Anna Katharina Viessmann,65.0,Germany,Heating and cooling equipment,Manufacturing,Germany,False,D,F,,Viessmann,Anna Katharina,,,,112.85,1.4,3845630030824.0,70.2,104.0,80.9,83132799.0,Heating and cooling equipment,,
1164,2600,Construction & Engineering,Jurgen Wirtgen,57.0,,Construction Vehicles,Construction & Engineering,Germany,False,N,M,7/1/1965 0:00,Wirtgen,Jurgen,1965.0,7.0,1.0,,,,,,,,Construction Vehicles,,
1164,2600,Construction & Engineering,Stefan Wirtgen,52.0,,Construction Vehicles,Construction & Engineering,Germany,False,N,M,7/1/1970 0:00,Wirtgen,Stefan,1970.0,7.0,1.0,,,,,,,,Construction Vehicles,,
1164,2600,Technology,Zhao Lixin,57.0,China,Electronics,Technology,China,True,D,M,1/1/1966 0:00,Zhao,Lixin,1966.0,1.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,1397715000.0,Electronics,,
1164,2600,Technology,Hongyi Zhou,52.0,China,Security software,Technology,China,True,U,M,10/1/1970 0:00,Zhou,Hongyi,1970.0,10.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,1397715000.0,Security software,,
1217,2500,Food & Beverage,S. Daniel Abraham,98.0,United States,Slim-Fast,Food & Beverage,United States,True,U,M,8/15/1924 0:00,Abraham,S. Daniel,1924.0,8.0,15.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Slim-Fast,,
1217,2500,Fashion & Retail,Bill Alfond,74.0,United States,Shoes,Fashion & Retail,United States,False,D,M,5/16/1948 0:00,Alfond,Bill,1948.0,5.0,16.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Shoes,,
1217,2500,Fashion & Retail,Susan Alfond,77.0,United States,Shoes,Fashion & Retail,United States,False,D,F,7/19/1945 0:00,Alfond,Susan,1945.0,7.0,19.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Shoes,,
1217,2500,Fashion & Retail,Ted Alfond,78.0,United States,Shoes,Fashion & Retail,United States,False,D,M,8/19/1944 0:00,Alfond,Ted,1944.0,8.0,19.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Shoes,,
1217,2500,Construction & Engineering,Riley Bechtel & family,71.0,United States,"Engineering, construction",Construction & Engineering,United States,False,D,M,3/25/1952 0:00,Bechtel,Riley,1952.0,3.0,25.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Engineering, construction,
1217,2500,Diversified,Thor Bjorgolfsson,56.0,United Kingdom,Investments,Diversified,Iceland,True,E,M,3/19/1967 0:00,Bjorgolfsson,Thor,1967.0,3.0,19.0,119.62,1.7,2827113184696.0,60.0,101.2,81.3,66834405.0,Investments,,
1217,2500,Food & Beverage,Charles Bronfman,91.0,United States,Liquor,Food & Beverage,Canada,False,E,M,6/27/1931 0:00,Bronfman,Charles,1931.0,6.0,27.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Liquor,,
1217,2500,Food & Beverage,Vivek Chand Burman,85.0,India,Consumer goods,Food & Beverage,India,False,D,M,4/28/1937 0:00,Burman,Vivek Chand,1937.0,4.0,28.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,1366417754.0,Consumer goods,,
1217,2500,Automotive,Herb Chambers,81.0,United States,Car dealerships,Automotive,United States,True,U,M,1/1/1942 0:00,Chambers,Herb,1942.0,1.0,1.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Car dealerships,,
1217,2500,Media & Entertainment,Cheng Yixiao,39.0,China,Video streaming app,Media & Entertainment,China,True,D,M,1/1/1984 0:00,Cheng,Yixiao,1984.0,1.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,1397715000.0,Video streaming app,,
1217,2500,Food & Beverage,Andrew Cherng,75.0,United States,Fast food,Food & Beverage,United States,True,Split Family Fortune,M,4/2/1948 0:00,Cherng,Andrew,1948.0,4.0,2.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Fast food,,
1217,2500,Food & Beverage,Peggy Cherng,75.0,United States,Fast food,Food & Beverage,United States,True,Split Family Fortune,F,12/18/1947 0:00,Cherng,Peggy,1947.0,12.0,18.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Fast food,,
1217,2500,Finance & Investments,Leon G. Cooperman,79.0,United States,Hedge funds,Finance & Investments,United States,True,E,M,4/25/1943 0:00,Cooperman,Leon G.,1943.0,4.0,25.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Hedge funds,,
1217,2500,Manufacturing,Yadu Hari Dalmia & family,75.0,India,Cement,Manufacturing,India,False,U,M,6/2/1947 0:00,Dalmia,Yadu Hari,1947.0,6.0,2.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,1366417754.0,Cement,,
1217,2500,Food & Beverage,Henry Davis,72.0,United States,Beef processing,Food & Beverage,United States,False,U,M,2/16/1951 0:00,Davis,Henry,1951.0,2.0,16.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Beef processing,,
1217,2500,Metals & Mining,Oleg Deripaska,55.0,Russia,"Aluminum, utilities",Metals & Mining,Russia,True,U,M,1/2/1968 0:00,Deripaska,Oleg,1968.0,1.0,2.0,180.75,4.5,1699876578871.0,81.9,102.6,72.7,144373535.0,Aluminum, utilities,
1217,2500,Technology,Sergey Dmitriev,57.0,Cyprus,Software,Technology,Cyprus,True,D,M,3/11/1966 0:00,Dmitriev,Sergey,1966.0,3.0,11.0,102.51,0.3,24564647935.0,75.9,99.3,80.8,1198575.0,Software,,
1217,2500,Finance & Investments,Joseph Edelman,67.0,United States,Hedge funds,Finance & Investments,United States,True,D,M,6/10/1955 0:00,Edelman,Joseph,1955.0,6.0,10.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Hedge funds,,
1217,2500,Manufacturing,Sandeep Engineer,61.0,India,Plastic pipes,Manufacturing,India,True,D,M,5/11/1961 0:00,Engineer,Sandeep,1961.0,5.0,11.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,1366417754.0,Plastic pipes,,
1217,2500,Energy,Alceu Elias Feldmann & family,73.0,Brazil,Fertilizer,Energy,Brazil,True,D,M,7/1/1949 0:00,Feldmann,Alceu Elias,1949.0,7.0,1.0,167.4,3.7,1839758040766.0,51.3,115.4,75.7,212559417.0,Fertilizer,,
1217,2500,Technology,Serge Godin,73.0,Canada,Information technology,Technology,Canada,True,U,M,11/17/1949 0:00,Godin,Serge,1949.0,11.0,17.0,116.76,1.9,1736425629520.0,68.9,100.9,81.9,36991981.0,Information technology,,
1217,2500,Finance & Investments,Alec Gores,70.0,United States,Private equity,Finance & Investments,United States,True,D,M,3/18/1953 0:00,Gores,Alec,1953.0,3.0,18.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Private equity,,
1217,2500,Fashion & Retail,Bill Haslam,64.0,United States,Gas stations,Fashion & Retail,United States,False,U,M,8/23/1958 0:00,Haslam,Bill,1958.0,8.0,23.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Gas stations,,
1217,2500,Finance & Investments,J. Tomilson Hill,74.0,United States,Investments,Finance & Investments,United States,True,D,M,5/24/1948 0:00,Hill,J. Tomilson,1948.0,5.0,24.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Investments,,
1217,2500,Media & Entertainment,Jay-Z,53.0,United States,Music,Media & Entertainment,United States,True,U,M,12/4/1969 0:00,Jay-Z,,1969.0,12.0,4.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Music,,
1217,2500,Automotive,Baba Kalyani,74.0,India,Engineering,Automotive,India,False,E,M,1/7/1949 0:00,Kalyani,Baba,1949.0,1.0,7.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,1366417754.0,Engineering,,
1217,2500,Energy,Saban Cemil Kazanci,62.0,Turkey,Energy,Energy,Turkey,False,R,M,2/13/1961 0:00,Kazanci,Saban Cemil,1961.0,2.0,13.0,234.44,15.2,754411708203.0,23.9,93.2,77.4,83429615.0,Energy,,
1217,2500,Real Estate,Brad Kelley,66.0,United States,Tobacco,Real Estate,United States,True,D,M,12/23/1956 0:00,Kelley,Brad,1956.0,12.0,23.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Tobacco,,
1217,2500,Construction & Engineering,Wolfgang Leitner,70.0,Austria,Engineering,Construction & Engineering,Austria,True,U,M,3/27/1953 0:00,Leitner,Wolfgang,1953.0,3.0,27.0,118.06,1.5,446314739528.0,85.1,103.1,81.6,8877067.0,Engineering,,
1217,2500,Manufacturing,Li Hongxin & family,70.0,China,Paper & related products,Manufacturing,China,True,D,M,3/7/1953 0:00,Li,Hongxin,1953.0,3.0,7.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,1397715000.0,Paper & related products,,
1217,2500,Real Estate,Lin Chen-hai,76.0,Taiwan,Real estate,Real Estate,Taiwan,True,D,M,3/1/1947 0:00,Lin,Chen-hai,1947.0,3.0,1.0,,,,,,,,Real estate,,
1217,2500,Fashion & Retail,Lu Yiwen,36.0,China,Jewelry,Fashion & Retail,China,True,D,F,1/1/1987 0:00,Lu,Yiwen,1987.0,1.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,1397715000.0,Jewelry,,
1217,2500,Food & Beverage,Prayudh Mahagitsiri,77.0,Thailand,"Coffee, shipping",Food & Beverage,Thailand,False,U,M,1/1/1946 0:00,Mahagitsiri,Prayudh,1946.0,1.0,1.0,113.27,0.7,543649976166.0,49.3,99.8,76.9,69625582.0,Coffee, shipping,
1217,2500,Healthcare,Willy Michel,76.0,Switzerland,Medical devices,Healthcare,Switzerland,True,E,M,1/1/1947 0:00,Michel,Willy,1947.0,1.0,1.0,99.55,0.4,703082435360.0,59.6,105.2,83.6,8574832.0,Medical devices,,
1217,2500,Automotive,Lachhman Das Mittal,92.0,India,Tractors,Automotive,India,False,E,M,11/5/1930 0:00,Mittal,Lachhman Das,1930.0,11.0,5.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,1366417754.0,Tractors,,
1217,2500,Technology,Bobby Murphy,34.0,United States,Snapchat,Technology,United States,True,D,M,7/19/1988 0:00,Murphy,Bobby,1988.0,7.0,19.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Snapchat,,
1217,2500,Real Estate,Tomas Olivo Lopez,49.0,Spain,Shopping centers,Real Estate,Spain,True,U,M,1/1/1974 0:00,Olivo Lopez,Tomas,1974.0,1.0,1.0,110.96,0.7,1394116310769.0,88.9,102.7,83.3,47076781.0,Shopping centers,,
1217,2500,Manufacturing,Eren Ozmen,64.0,United States,Aerospace,Manufacturing,United States,True,D,F,9/3/1958 0:00,Ozmen,Eren,1958.0,9.0,3.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Aerospace,,
1217,2500,Finance & Investments,John Pritzker,69.0,United States,"Hotels, investments",Finance & Investments,United States,False,D,M,8/10/1953 0:00,Pritzker,John,1953.0,8.0,10.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Hotels, investments,
1217,2500,Technology,Qiu Minxiu,77.0,China,Semiconductors,Technology,China,True,E,F,9/17/1945 0:00,Qiu,Minxiu,1945.0,9.0,17.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,1397715000.0,Semiconductors,,
1217,2500,Diversified,Ferit Faik Sahenk,59.0,Turkey,Diversified,Diversified,Turkey,False,U,M,3/18/1964 0:00,Sahenk,Ferit Faik,1964.0,3.0,18.0,234.44,15.2,754411708203.0,23.9,93.2,77.4,83429615.0,Diversified,,
1217,2500,Metals & Mining,Wenrong Shen,77.0,China,Steel production,Metals & Mining,China,True,U,M,2/13/1946 0:00,Shen,Wenrong,1946.0,2.0,13.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,1397715000.0,Steel production,,
1217,2500,Diversified,Yuzhu Shi,60.0,China,"Online games, investments",Diversified,China,True,D,M,9/1/1962 0:00,Shi,Yuzhu,1962.0,9.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,1397715000.0,Online games, investments,
1217,2500,Real Estate,Jeff Sutton,63.0,United States,Real estate,Real Estate,United States,True,D,M,1/17/1960 0:00,Sutton,Jeff,1960.0,1.0,17.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Real estate,,
1217,2500,Diversified,"Henry Sy, Jr.",69.0,Philippines,Diversified,Diversified,Philippines,False,D,M,1/1/1954 0:00,Sy,Henry,1954.0,1.0,1.0,129.61,2.5,376795508680.0,35.5,107.5,71.1,108116615.0,Diversified,,
1217,2500,Diversified,Andrew Tan,71.0,Philippines,Diversified,Diversified,Philippines,True,D,M,2/1/1952 0:00,Tan,Andrew,1952.0,2.0,1.0,129.61,2.5,376795508680.0,35.5,107.5,71.1,108116615.0,Diversified,,
1217,2500,Energy,Arvind Tiku,53.0,Singapore,"Oil & gas, investments",Energy,India,True,U,M,2/22/1970 0:00,Tiku,Arvind,1970.0,2.0,22.0,114.41,0.6,372062527489.0,84.8,100.6,83.1,5703569.0,Oil & gas, investments,
1217,2500,Finance & Investments,Byron Trott,64.0,United States,Investments,Finance & Investments,United States,True,U,M,12/2/1958 0:00,Trott,Byron,1958.0,12.0,2.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Investments,,
1217,2500,Real Estate,Donald Trump,76.0,United States,Real estate,Real Estate,United States,False,D,M,6/14/1946 0:00,Trump,Donald,1946.0,6.0,14.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Real estate,,
1217,2500,Automotive,Peter Unger,78.0,Germany,Auto repair,Automotive,Germany,True,U,M,8/20/1944 0:00,Unger,Peter,1944.0,8.0,20.0,112.85,1.4,3845630030824.0,70.2,104.0,80.9,83132799.0,Auto repair,,
1217,2500,Fashion & Retail,Roger Wang,74.0,China,Retail,Fashion & Retail,United States,True,D,M,1/1/1949 0:00,Wang,Roger,1949.0,1.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,1397715000.0,Retail,,
1217,2500,Media & Entertainment,Oprah Winfrey,69.0,United States,TV shows,Media & Entertainment,United States,True,D,F,1/29/1954 0:00,Winfrey,Oprah,1954.0,1.0,29.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,TV shows,,
1217,2500,Food & Beverage,Wu Zhigang & family,88.0,China,Bakery chain,Food & Beverage,China,True,D,M,1/14/1935 0:00,Wu,Zhigang,1935.0,1.0,14.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,1397715000.0,Bakery chain,,
1217,2500,Metals & Mining,Xie Weitong,66.0,Singapore,Cobalt,Metals & Mining,Taiwan,True,D,M,1/1/1957 0:00,Xie,Weitong,1957.0,1.0,1.0,114.41,0.6,372062527489.0,84.8,100.6,83.1,5703569.0,Cobalt,,
1217,2500,Fashion & Retail,Ye Guofu,45.0,China,Retail,Fashion & Retail,China,True,R,M,1/1/1978 0:00,Ye,Guofu,1978.0,1.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,1397715000.0,Retail,,
1272,2400,Technology,Brian Acton,51.0,United States,WhatsApp,Technology,United States,True,D,M,2/17/1972 0:00,Acton,Brian,1972.0,2.0,17.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,WhatsApp,,
1272,2400,Automotive,Abdulla Al Futtaim & family,83.0,United Arab Emirates,"Auto dealers, investments",Automotive,United Arab Emirates,False,D,M,1/1/1940 0:00,Al Futtaim,Abdulla,1940.0,1.0,1.0,114.52,-1.9,421142267938.0,36.8,108.4,77.8,9770529.0,Auto dealers, investments,
1272,2400,Energy,Edward Bass,77.0,United States,"Oil, investments",Energy,United States,False,E,M,9/10/1945 0:00,Bass,Edward,1945.0,9.0,10.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Oil, investments,
1272,2400,Media & Entertainment,Koos Bekker,70.0,South Africa,"Media, investments",Media & Entertainment,South Africa,True,U,M,12/14/1952 0:00,Bekker,Koos,1952.0,12.0,14.0,158.93,4.1,351431649241.0,22.4,100.9,63.9,58558270.0,Media, investments,
1272,2400,Healthcare,Otto Philipp Braun,45.0,Germany,Medical technology,Healthcare,Germany,False,D,M,1/1/1978 0:00,Braun,Otto Philipp,1978.0,1.0,1.0,112.85,1.4,3845630030824.0,70.2,104.0,80.9,83132799.0,Medical technology,,
1272,2400,Fashion & Retail,Chen Tei-fu,74.0,United States,Herbal products,Fashion & Retail,Taiwan,True,D,M,4/19/1948 0:00,Chen,Tei-fu,1948.0,4.0,19.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Herbal products,,
1272,2400,Fashion & Retail,Abilio dos Santos Diniz,86.0,Brazil,Retail,Fashion & Retail,Brazil,False,D,M,12/28/1936 0:00,Diniz,Abilio dos Santos,1936.0,12.0,28.0,167.4,3.7,1839758040766.0,51.3,115.4,75.7,212559417.0,Retail,,
1272,2400,Finance & Investments,Marcel Erni,58.0,Switzerland,Private equity,Finance & Investments,Switzerland,True,D,M,1/1/1965 0:00,Erni,Marcel,1965.0,1.0,1.0,99.55,0.4,703082435360.0,59.6,105.2,83.6,8574832.0,Private equity,,
1272,2400,Fashion & Retail,Doris Fisher,91.0,United States,Gap,Fashion & Retail,United States,True,D,F,8/23/1931 0:00,Fisher,Doris,1931.0,8.0,23.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Gap,,
1272,2400,Finance & Investments,Gerald Ford,78.0,United States,Banking,Finance & Investments,United States,True,D,M,8/4/1944 0:00,Ford,Gerald,1944.0,8.0,4.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Banking,,
1272,2400,Healthcare,Bernard Fraisse & family,66.0,France,Pharmaceuticals,Healthcare,France,True,E,M,8/10/1956 0:00,Fraisse,Bernard,1956.0,8.0,10.0,110.05,1.1,2715518274227.0,65.6,102.5,82.5,67059887.0,Pharmaceuticals,,
1272,2400,Finance & Investments,Alfred Gantner,55.0,Switzerland,Private equity,Finance & Investments,Switzerland,True,D,M,4/1/1968 0:00,Gantner,Alfred,1968.0,4.0,1.0,99.55,0.4,703082435360.0,59.6,105.2,83.6,8574832.0,Private equity,,
1272,2400,Gambling & Casinos,Paul Gauselmann & family,88.0,Germany,Gambling,Gambling & Casinos,Germany,True,D,M,8/26/1934 0:00,Gauselmann,Paul,1934.0,8.0,26.0,112.85,1.4,3845630030824.0,70.2,104.0,80.9,83132799.0,Gambling,,
1272,2400,Real Estate,Mitchell Goldhar,61.0,Canada,Real estate,Real Estate,Canada,True,D,M,7/15/1961 0:00,Goldhar,Mitchell,1961.0,7.0,15.0,116.76,1.9,1736425629520.0,68.9,100.9,81.9,36991981.0,Real estate,,
1272,2400,Finance & Investments,Peter Hargreaves,76.0,United Kingdom,Financial services,Finance & Investments,United Kingdom,True,D,M,10/5/1946 0:00,Hargreaves,Peter,1946.0,10.0,5.0,119.62,1.7,2827113184696.0,60.0,101.2,81.3,66834405.0,Financial services,,
1272,2400,Healthcare,Xuande Hua & family,79.0,China,Pharmaceuticals,Healthcare,China,True,D,M,10/30/1943 0:00,Hua,Xuande,1943.0,10.0,30.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,1397715000.0,Pharmaceuticals,,
1272,2400,Diversified,Kwek Leng Kee,68.0,Singapore,Diversified,Diversified,Singapore,False,U,M,1/1/1955 0:00,Kwek,Leng Kee,1955.0,1.0,1.0,114.41,0.6,372062527489.0,84.8,100.6,83.1,5703569.0,Diversified,,
1272,2400,Manufacturing,Catherine Lozick,77.0,United States,Valve manufacturing,Manufacturing,United States,False,U,F,5/1/1945 0:00,Lozick,Catherine,1945.0,5.0,1.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Valve manufacturing,,
1272,2400,Media & Entertainment,Kalanithi Maran,57.0,India,Media,Media & Entertainment,India,True,E,M,7/26/1965 0:00,Maran,Kalanithi,1965.0,7.0,26.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,1366417754.0,Media,,
1272,2400,Finance & Investments,Jed McCaleb,48.0,United States,Cryptocurrency,Finance & Investments,United States,True,D,M,1/1/1975 0:00,McCaleb,Jed,1975.0,1.0,1.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Cryptocurrency,,
1272,2400,Manufacturing,Fatih Ozmen,65.0,United States,Aerospace,Manufacturing,United States,True,D,M,2/2/1958 0:00,Ozmen,Fatih,1958.0,2.0,2.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Aerospace,,
1272,2400,Food & Beverage,Pan Laican,65.0,China,Soy sauce,Food & Beverage,China,True,D,M,,Pan,Laican,,,,125.08,2.9,19910000000000.0,50.6,100.2,77.0,1397715000.0,Soy sauce,,
1272,2400,Metals & Mining,Tor Peterson,58.0,Switzerland,Commodities,Metals & Mining,United States,True,D,M,8/7/1964 0:00,Peterson,Tor,1964.0,8.0,7.0,99.55,0.4,703082435360.0,59.6,105.2,83.6,8574832.0,Commodities,,
1272,2400,Finance & Investments,Daniel Pritzker,63.0,United States,"Hotels, investments",Finance & Investments,United States,False,D,M,9/15/1959 0:00,Pritzker,Daniel,1959.0,9.0,15.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Hotels, investments,
1272,2400,Real Estate,Jinxing Qi,61.0,China,Real estate,Real Estate,China,True,U,M,3/28/1962 0:00,Qi,Jinxing,1962.0,3.0,28.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,1397715000.0,Real estate,,
1272,2400,Manufacturing,Qiu Jianping & family,61.0,China,Hand tools,Manufacturing,China,True,U,M,1/28/1962 0:00,Qiu,Jianping,1962.0,1.0,28.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,1397715000.0,Hand tools,,
1272,2400,Diversified,Rajan Raheja & family,68.0,India,Diversified,Diversified,India,False,E,M,6/1/1954 0:00,Raheja,Rajan,1954.0,6.0,1.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,1366417754.0,Diversified,,
1272,2400,Finance & Investments,Matthias Reinhart,63.0,Switzerland,Financial services,Finance & Investments,Switzerland,True,D,M,1/1/1960 0:00,Reinhart,Matthias,1960.0,1.0,1.0,99.55,0.4,703082435360.0,59.6,105.2,83.6,8574832.0,Financial services,,
1272,2400,Technology,Arnout Schuijff,55.0,Netherlands,Payments software,Technology,Netherlands,True,D,M,10/16/1967 0:00,Schuijff,Arnout,1967.0,10.0,16.0,115.91,2.6,909070395161.0,85.0,104.2,81.8,17332850.0,Payments software,,
1272,2400,Diversified,Hans Sy,67.0,Philippines,Diversified,Diversified,Philippines,False,D,M,9/29/1955 0:00,Sy,Hans,1955.0,9.0,29.0,129.61,2.5,376795508680.0,35.5,107.5,71.1,108116615.0,Diversified,,
1272,2400,Diversified,Herbert Sy,66.0,Philippines,Diversified,Diversified,Philippines,False,D,M,10/1/1956 0:00,Sy,Herbert,1956.0,10.0,1.0,129.61,2.5,376795508680.0,35.5,107.5,71.1,108116615.0,Diversified,,
1272,2400,Diversified,Lucio Tan,88.0,Philippines,Diversified,Diversified,Philippines,True,U,M,7/17/1934 0:00,Tan,Lucio,1934.0,7.0,17.0,129.61,2.5,376795508680.0,35.5,107.5,71.1,108116615.0,Diversified,,
1272,2400,Technology,Tsai Ming-kai,72.0,Taiwan,Semiconductors,Technology,Taiwan,True,D,M,4/6/1950 0:00,Tsai,Ming-kai,1950.0,4.0,6.0,,,,,,,,Semiconductors,,
1272,2400,Media & Entertainment,Ted Turner,84.0,United States,Cable television,Media & Entertainment,United States,False,U,M,11/19/1938 0:00,Turner,Ted,1938.0,11.0,19.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Cable television,,
1272,2400,Real Estate,David Walentas,84.0,United States,Real estate,Real Estate,United States,True,U,M,8/7/1938 0:00,Walentas,David,1938.0,8.0,7.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Real estate,,
